% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.461529120e+07 +1.461529120e+07 +1.461523626e+07 +1.461523626e+07 +4.4303e+00 +3.4479e+00 -2.2053e+00 -1.1869e-01 +5.2754e-01 -1.5287e+00 -1.7964e+00 -2.0423e-01 -3.7463e+00 -2.6368e+00 -1.5156e+00 +2.7046e+00 +1.7307e+00 +1.6133e+00 -4.2817e+00 +2.7271e+00 -2.1559e+00 +4.5153e+00 +4.1816e-01 -1.0935e+00
2 +6.162614274e+06 +6.162614274e+06 +6.162559334e+06 +6.162559334e+06 -3.5131e+00 +2.7335e+00 -4.4164e+00 -2.4119e+00 +2.6847e+00 +4.9798e+00 +4.0497e+00 +3.1879e-01 +7.5199e-01 -2.0545e+00 +2.6672e+00 +4.0874e+00 +4.9613e+00 +2.1694e+00 +7.5338e-01 +2.5583e+00 +3.8573e+00 -8.1143e-01 +4.8116e+00 -4.7614e+00
5 +1.560479026e+06 +1.560479026e+06 +1.560424086e+06 +1.560424086e+06 -4.6081e-01 +2.6145e+00 -4.8703e+00 -1.8617e+00 +4.7237e+00 -2.0660e+00 +2.7851e+00 -2.3897e+00 -2.5255e+00 -2.9223e+00 +3.0923e+00 -4.7951e-02 +1.7039e+00 -3.8291e+00 +2.4809e+00 -3.3745e+00 +4.8838e+00 -2.1631e+00 +3.3745e+00 +3.2647e+00
317 +8.289782836e+05 +8.289782836e+05 +8.289233436e+05 +8.289233436e+05 -1.3201e+00 +2.4363e+00 -7.7839e+00 -2.5435e-01 +3.6925e+00 -1.5613e+00 -2.2579e+00 +1.1474e+00 -3.0235e+00 -3.3505e+00 -1.5267e-01 -2.2810e+00 +5.3555e+00 -8.8621e+00 +5.4585e+00 -1.0053e+00 +2.1144e+00 -3.6923e+00 +6.3631e+00 +2.2078e+00
3387 +4.935339278e+05 +4.935339278e+05 +4.934789878e+05 +4.934789878e+05 -4.1438e+00 +2.7457e-01 -1.8479e+00 +1.5235e+00 +7.0603e-02 -1.2514e+00 +3.8604e-02 +2.5272e+00 -2.2374e+00 -3.0009e+00 +3.9661e-02 -3.8376e+00 +8.3962e-01 -4.5713e+00 +4.6615e+00 +1.8321e+00 +4.7257e-01 +1.8068e+00 +4.2015e+00 -1.1179e-01
7313 +3.659216957e+05 +3.659216957e+05 +3.658667557e+05 +3.658667557e+05 -1.9572e+00 -4.9417e-01 -7.0503e+00 +3.8396e+00 +5.4967e+00 -3.8967e-01 -3.6568e+00 +2.6721e-01 -2.9453e+00 -2.0882e+00 +8.2828e-01 -3.9799e+00 +5.2571e+00 -5.9840e+00 +7.4024e+00 +5.6396e+00 +9.3729e-01 -2.1731e+00 +6.2841e+00 +9.3153e-01
26752 +1.903974136e+05 +1.903974136e+05 +1.903424736e+05 +1.903424736e+05 -3.3538e+00 -2.0785e-02 -1.2438e+00 +1.6997e+00 +2.6675e+00 -1.9133e+00 +2.2528e+00 +5.9220e-01 -5.2123e+00 -7.5807e-01 +1.7077e+00 -4.4892e-01 +8.0388e-01 -8.6973e+00 +5.5202e+00 -2.4166e+00 +1.2481e+00 -4.4350e+00 +2.6811e+00 +3.8819e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.284215861e+06 +6.284215861e+06 +6.284274991e+06 +6.284274991e+06 +1.1589e+00 +2.9460e+00 -8.4131e-02 +4.7142e-01 +2.3528e-01 +1.6655e+00 -2.6373e+00 +3.9991e+00 -1.4530e+00 +2.7792e+00 +2.2912e+00 +2.5080e+00 -2.5414e+00 -2.1363e+00 +2.5149e+00 -3.5530e+00 +4.1275e+00 +9.6429e-01 -3.3698e+00 +1.4506e+00
24 +2.976717217e+06 +2.976717217e+06 +2.976776347e+06 +2.976776347e+06 +2.6464e-01 +4.0883e+00 +1.5790e+00 -7.2837e-02 +4.7349e+00 +4.0099e+00 +4.5361e+00 -6.6506e-01 -1.9353e+00 +2.0606e+00 +3.8963e+00 -2.0649e-02 +1.4794e+00 +2.4308e+00 -3.6125e+00 +4.4642e-01 +4.2033e+00 -2.7536e+00 +4.6547e+00 -1.9797e+00
