% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.163878023e+07 +3.163878023e+07 +3.163872529e+07 +3.163872529e+07 -3.1324e+00 +3.8189e+00 +4.4523e+00 -1.1765e+00 -1.0312e+00 +5.0071e-01 -3.9673e+00 +3.4019e+00 -3.3911e+00 -2.0101e+00 +9.0275e-01 +2.5269e+00 -2.8193e+00 -2.7047e+00 -1.3973e+00 +2.9684e+00 -3.1297e+00 -4.5526e+00 -3.5706e+00 -2.2698e+00
2 +1.043663779e+07 +1.043663779e+07 +1.043658285e+07 +1.043658285e+07 -3.8890e+00 +6.0820e-01 +3.1376e+00 +3.6546e+00 +4.1023e+00 +1.7318e+00 +1.0805e+00 +2.8357e+00 -1.5121e-01 +1.1153e+00 +8.5843e-01 -2.5833e+00 -2.7444e+00 -1.4435e-01 +6.8067e-01 +4.3788e+00 -5.8655e-01 -3.9592e+00 -4.3552e+00 -2.5086e+00
10 +9.133373163e+06 +9.133373163e+06 +9.133318223e+06 +9.133318223e+06 -3.5689e+00 -4.1745e+00 -2.4212e+00 -6.0253e-01 +1.2559e+00 -4.2006e+00 +9.6299e-01 -3.2002e-01 +6.2343e-01 +4.7150e+00 -3.0484e+00 -3.6262e+00 -3.3569e+00 -4.5048e+00 -3.3393e+00 -3.7805e+00 -2.3217e+00 -2.8501e+00 +3.1433e+00 -4.5878e+00
15 +5.378124748e+06 +5.378124748e+06 +5.378069808e+06 +5.378069808e+06 -2.3961e+00 +9.9251e-01 +3.3052e+00 -2.4667e+00 +3.9493e+00 -2.8401e+00 +1.8722e+00 -8.5150e-01 +1.5647e+00 +4.1272e+00 -6.9648e-01 -1.5345e+00 -3.3384e-01 -4.5416e+00 -1.3637e+00 -7.2211e-01 -6.0074e-01 +3.3791e+00 +1.9610e+00 +2.0820e+00
43 +3.380136927e+06 +3.380136927e+06 +3.380081987e+06 +3.380081987e+06 +3.7076e+00 -3.9379e+00 +9.0500e-01 +5.0000e+00 +2.0922e+00 -1.7135e+00 -4.6468e-01 -3.5021e-01 -3.3132e+00 +4.8044e+00 +2.3720e+00 +4.4273e+00 +1.1433e+00 -2.4367e+00 -4.4823e+00 +5.0000e+00 +2.1033e-01 -2.4501e+00 +8.5538e-01 -9.8105e-02
46 +2.139097033e+06 +2.139097033e+06 +2.139042093e+06 +2.139042093e+06 -1.2141e+00 -4.8771e+00 -7.9975e-01 +3.1094e-01 +3.9940e+00 -4.6374e-01 -6.9620e-01 +1.0722e+00 -4.1318e+00 -1.2072e+00 -6.3226e-02 +2.3226e+00 +5.0863e-02 -1.5337e+00 -5.0000e+00 -6.1561e-01 -3.2558e+00 -2.2503e+00 +1.0279e+00 -1.8942e-02
116 +8.023734765e+05 +8.023734765e+05 +8.023185365e+05 +8.023185365e+05 +1.4219e+00 -2.6970e+00 -4.6018e+00 +0.0000e+00 +3.9724e+00 +8.8366e-01 -1.7533e+00 +1.6809e+00 -5.0000e+00 -3.7494e-01 +0.0000e+00 +2.4436e+00 +1.9172e-01 -2.3365e+00 -3.2885e+00 -1.1034e+00 -1.2269e+00 -4.1411e+00 +2.0988e+00 +0.0000e+00
360 +4.679890851e+05 +4.679890851e+05 +4.679341451e+05 +4.679341451e+05 +9.3557e-01 -1.3883e+00 -2.7424e+00 -6.1226e-01 +5.0000e+00 -3.4437e-01 -1.0215e+00 -8.7504e-02 -5.0000e+00 +8.4902e-01 +8.1482e-01 +4.4643e+00 +2.9902e+00 -4.7946e+00 -2.1149e+00 +0.0000e+00 -1.1767e+00 -3.5985e+00 +4.3870e+00 +5.8220e-01
1032 +3.765242971e+05 +3.765242971e+05 +3.764693571e+05 +3.764693571e+05 -8.2927e-01 -2.6935e+00 -5.0000e+00 +3.2285e-01 +5.0000e+00 +1.7557e+00 -3.1366e+00 +3.3195e+00 -4.9870e+00 -6.5311e-02 -2.3315e+00 +4.3907e+00 +2.4844e+00 -3.2700e-01 +9.7513e-01 -4.7418e+00 -1.9088e+00 -3.0890e+00 +4.0656e+00 +4.0468e-02
1536 +2.299126909e+05 +2.299126909e+05 +2.298577509e+05 +2.298577509e+05 -2.7459e-02 -2.9779e+00 -5.0000e+00 +8.8925e-01 +5.0000e+00 -2.4650e-01 -9.6617e-01 +7.6317e-01 -5.0000e+00 -1.0524e+00 -1.2327e+00 +4.7784e+00 +2.6210e+00 -1.1809e+00 +0.0000e+00 -4.5995e+00 -8.4093e-01 -3.3007e+00 +4.4263e+00 +1.2261e+00
