% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.613650240e+01 +8.613650240e+01 -9.138634976e+02 -9.138634976e+02 +4.8821e+00 -1.3610e-01 +5.7292e-01 -2.8286e+00 +2.8106e+00 -1.7608e-01 -1.3160e+00 -3.4431e+00 +4.6671e+00 -2.6746e+00 +4.5237e+00 -1.5699e-01 -2.8984e+00 -2.8272e+00 +4.9877e+00 +3.4377e+00 +3.5120e+00 +1.9521e+00 +2.2472e+00 -2.7202e+00
341 +4.593494690e+01 +4.593494690e+01 -9.540650531e+02 -9.540650531e+02 +0.0000e+00 +7.1384e-02 -2.8716e-01 +4.8185e+00 -4.3785e+00 +9.0960e-01 -3.9039e+00 +3.2843e+00 +3.9718e+00 -7.3547e-01 -2.8140e+00 +2.2550e+00 -2.5252e+00 -1.0054e+00 -1.1014e+00 -2.6698e+00 +1.2113e+00 +1.4984e+00 +5.0000e+00 -1.1853e+00
399 +2.830373830e+01 +2.830373830e+01 -9.716962617e+02 -9.716962617e+02 +4.0946e+00 -4.8954e-02 +1.1354e+00 +4.6478e+00 -4.4016e+00 +3.8259e-01 -3.6700e+00 +3.4375e+00 +2.7889e+00 -2.4532e+00 -2.0511e+00 +1.3651e+00 -3.5287e+00 -1.8212e+00 -1.0475e+00 -3.5928e-01 +1.1916e+00 +4.9351e-01 +4.5474e+00 +3.0384e-01
669 +2.362787091e+01 +2.362787091e+01 -9.763721291e+02 -9.763721291e+02 +3.0423e+00 +2.8478e-02 +2.5310e+00 +4.4504e+00 -4.3780e+00 -2.2189e-01 -2.2847e+00 +4.5309e+00 +3.1622e+00 -1.2245e+00 -1.7634e+00 +3.0304e+00 -3.9575e+00 -1.7737e+00 -7.7294e-01 -1.9236e+00 +1.5959e+00 +1.4322e+00 +4.5249e+00 +1.0735e+00
837 +1.425606981e+01 +1.425606981e+01 -9.857439302e+02 -9.857439302e+02 +1.8517e+00 -2.3742e+00 +9.7089e-01 +4.6702e+00 -4.8094e+00 +6.3479e-01 -2.3928e+00 +3.9507e+00 +3.1480e+00 -3.8066e-01 -2.5480e+00 +2.1370e+00 -3.3911e+00 -3.1533e+00 -4.0504e-01 -1.6603e+00 +1.8503e+00 +1.6139e+00 +4.4349e+00 +3.5999e+00
867 +8.841573259e+00 +8.841573259e+00 -9.911584267e+02 -9.911584267e+02 +1.3205e+00 -1.0102e+00 +1.4031e+00 +4.8189e+00 -4.6102e+00 +4.4428e-01 -2.3807e+00 +4.2112e+00 +3.1002e+00 -1.6918e+00 -2.7254e+00 +2.4162e+00 -3.3789e+00 -3.1614e+00 -5.5273e-01 -2.3377e+00 +2.7340e+00 +3.0340e+00 +4.4903e+00 +2.9202e+00
1213 +4.961738067e+00 +4.961738067e+00 -9.950382619e+02 -9.950382619e+02 +1.9246e+00 -2.3089e+00 +1.3339e+00 +4.0713e+00 -4.4891e+00 +3.9101e-02 -1.9843e+00 +3.8813e+00 +4.1380e+00 -1.1188e+00 -2.5444e+00 +2.5525e+00 -2.9429e+00 -3.0080e+00 -5.0710e-01 -1.0840e+00 +2.4542e+00 +1.7589e+00 +4.4141e+00 +2.9128e+00
1501 +2.981951053e+00 +2.981951053e+00 -9.970180489e+02 -9.970180489e+02 +2.7623e+00 -2.4724e+00 +9.6525e-01 +4.7698e+00 -4.7838e+00 +1.2598e+00 -2.0500e+00 +3.2176e+00 +4.1869e+00 -1.5160e+00 -3.2236e+00 +2.0136e+00 -2.8202e+00 -2.6912e+00 -6.9099e-01 -2.3356e-01 +3.2376e+00 +2.9785e+00 +4.3837e+00 +2.7784e+00
1541 +2.109322523e+00 +2.109322523e+00 -9.978906775e+02 -9.978906775e+02 +1.5593e+00 -2.3488e+00 +1.5453e+00 +4.1188e+00 -4.2452e+00 +8.8107e-01 -2.0532e+00 +4.2921e+00 +3.8580e+00 -1.0532e+00 -3.0314e+00 +2.4342e+00 -2.8619e+00 -2.6262e+00 -1.0221e+00 -4.5834e-01 +3.7557e+00 +2.8553e+00 +4.4032e+00 +3.0286e+00
2527 +1.583737155e+00 +1.583737155e+00 -9.984162628e+02 -9.984162628e+02 +2.0240e+00 -2.2736e+00 +1.5068e+00 +3.8396e+00 -4.1892e+00 +1.0087e+00 -1.7250e+00 +3.6684e+00 +4.1712e+00 -8.3736e-01 -3.0194e+00 +2.5852e+00 -3.2685e+00 -2.8101e+00 -7.9453e-01 -6.9380e-01 +3.4332e+00 +3.4526e+00 +3.8963e+00 +2.7624e+00
4248 +9.794327208e-01 +9.794327208e-01 -9.990205673e+02 -9.990205673e+02 +1.8060e+00 -2.0089e+00 +1.2022e+00 +3.5897e+00 -4.3860e+00 +9.3360e-01 -1.8129e+00 +3.6619e+00 +4.1945e+00 -9.6504e-01 -3.0583e+00 +2.1650e+00 -2.9824e+00 -2.4824e+00 -8.6612e-01 -6.8697e-01 +3.1911e+00 +3.5934e+00 +4.0334e+00 +2.6395e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.591521534e+01 +8.591521534e+01 +1.085915215e+03 +1.085915215e+03 -3.5854e+00 -2.7572e+00 -4.8094e+00 +1.3564e+00 -2.3707e+00 -4.5964e+00 +3.8235e+00 -1.9714e+00 +2.6566e-01 -4.9871e+00 -4.6314e+00 +4.3167e+00 +4.5323e+00 +1.5427e-01 -2.3374e+00 +3.5460e+00 +4.7495e-01 +2.3255e+00 -3.9670e+00 -2.1164e+00
231 +5.347407038e+01 +5.347407038e+01 +1.053474070e+03 +1.053474070e+03 -1.9574e+00 -3.5519e+00 +1.1043e+00 -3.6274e+00 +1.2168e+00 -4.8268e+00 +3.3744e+00 +6.9807e-01 -2.8979e+00 -5.0000e+00 -5.0000e+00 -3.3186e+00 +1.7235e+00 -3.6702e+00 -4.6460e+00 -2.7571e+00 +2.4539e+00 -3.9733e+00 +1.8545e+00 +7.5098e-01
243 +1.783818880e+01 +1.783818880e+01 +1.017838189e+03 +1.017838189e+03 -3.5755e+00 -2.7543e+00 +1.2211e+00 -3.7087e+00 +1.4921e+00 -5.0000e+00 +1.5111e+00 +1.0779e+00 -2.9041e+00 -4.5670e+00 -5.0000e+00 -3.5441e+00 +4.7911e-01 -5.0000e+00 -4.3197e+00 -4.9637e+00 +2.4934e+00 -3.5745e+00 +2.0421e+00 +3.9223e+00
806 +1.534650794e+01 +1.534650794e+01 +1.015346508e+03 +1.015346508e+03 -2.2307e+00 -5.0000e+00 +2.6023e-01 -2.9771e+00 +1.2972e+00 -5.0000e+00 +1.6707e-01 +5.2552e-01 -2.1899e+00 -4.4030e+00 -5.0000e+00 -2.5635e+00 -1.8819e+00 -4.9983e+00 -4.6766e+00 -4.9473e+00 +2.7743e+00 -2.9049e+00 +1.5256e+00 +2.8133e+00
1306 +9.845403690e+00 +9.845403690e+00 +1.009845404e+03 +1.009845404e+03 -2.7390e+00 -3.8194e+00 +1.4479e-01 -3.2814e+00 +3.3393e-01 -5.0000e+00 +1.5251e+00 +7.1382e-01 -4.5388e+00 -4.2600e+00 -5.0000e+00 -2.3363e+00 -2.7042e-01 -4.9983e+00 -3.7434e+00 -4.9367e+00 +2.6640e+00 -3.3919e+00 +3.0623e+00 +3.2643e+00
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.654994790e+01 +8.654994790e+01 +3.741994790e+01 +3.741994790e+01 -2.1392e+00 +4.9949e+00 -4.2185e+00 -3.6381e+00 -1.7695e+00 +1.3589e+00 +9.4317e-02 -2.1815e+00 -3.8931e+00 -4.0509e+00 -4.4488e+00 +3.7014e+00 +4.5790e+00 +3.1468e+00 +8.6002e-01 -3.4108e+00 -2.7384e+00 +4.5716e+00 -2.7607e+00 -1.4357e-01
336 +5.919928972e+01 +5.919928972e+01 +1.006928972e+01 +1.006928972e+01 -3.2935e+00 +2.2632e+00 -1.9749e+00 +4.9341e-01 -3.8899e+00 +1.4916e+00 -5.0000e+00 +1.3071e-01 -1.2817e+00 +4.4030e+00 +1.3746e+00 -4.2469e+00 -5.0000e+00 +3.8545e-02 +5.0000e+00 +4.6625e-01 -1.1367e+00 -3.0809e+00 +3.1584e+00 -2.0540e+00
733 +3.245244821e+01 +3.245244821e+01 -1.667755179e+01 -1.667755179e+01 -2.5685e+00 +4.0996e+00 -5.4587e-01 -3.3581e-01 -2.2603e+00 +1.7712e+00 -5.0000e+00 -4.8645e-01 -3.0041e+00 +4.9389e+00 +1.6215e+00 -3.7143e+00 -4.9753e+00 +0.0000e+00 +2.8717e+00 +1.0536e+00 -5.7883e-01 -3.1478e+00 +2.2770e+00 -2.6778e+00
1435 +2.489777705e+01 +2.489777705e+01 -2.423222295e+01 -2.423222295e+01 -3.7333e+00 +3.9949e+00 +3.7120e-01 -2.3418e+00 -2.2689e+00 +3.1123e+00 -5.0000e+00 -4.0092e-01 -9.5338e-01 +5.0000e+00 +1.9228e+00 -4.1463e+00 -4.9726e+00 +2.8367e-01 +3.0124e+00 +2.3404e+00 -5.3019e-01 -3.8214e+00 +2.8640e+00 -2.1218e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.643053074e+01 +8.643053074e+01 +3.841605307e+02 +3.841605307e+02 -3.1589e+00 +2.2720e+00 +2.4355e+00 -3.5876e+00 -4.9350e+00 -4.8462e+00 +1.7772e+00 +1.2028e-01 -4.4025e+00 -1.7417e+00 -4.7137e+00 -3.4917e+00 -4.7122e+00 -2.9850e-01 -1.5462e+00 -4.4097e+00 -3.2670e+00 -1.7950e+00 -3.3212e+00 +3.0850e+00
282 +6.128643829e+01 +6.128643829e+01 +3.590164383e+02 +3.590164383e+02 -7.4513e-01 +2.5779e+00 -1.6045e+00 -1.3725e+00 +8.1857e-01 -3.4622e+00 -2.2229e+00 -1.4313e+00 +1.2376e+00 -6.5370e-01 -1.8522e+00 -2.8915e-01 +1.7685e+00 -1.1235e+00 +3.1090e+00 +8.5234e-01 -1.3576e+00 +2.2021e+00 -2.4364e+00 +1.6760e+00
