% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.523022713e+07 +3.523022713e+07 +3.523001725e+07 +3.523001725e+07 +1.3481e+00 -3.1485e+00 -2.2852e+00 +3.8622e+00 -2.8528e+00 -2.2742e+00 +2.2563e+00 -1.2766e+00 -2.9101e+00 -2.6980e+00 -3.4314e+00 +1.2539e-01 +7.4179e-02 +3.3592e-01 -3.2490e+00 +2.1727e+00 -2.6130e+00 +9.3274e-01 -2.5419e+00 -4.0317e+00
4 +1.085121137e+07 +1.085121137e+07 +1.085100149e+07 +1.085100149e+07 +3.3779e+00 -1.9181e+00 +3.5827e+00 +6.7899e-01 +2.8960e+00 +3.5372e-01 +9.8079e-01 -1.8261e+00 +1.5716e+00 +1.7284e+00 +4.6950e-01 -4.4956e+00 -1.4926e+00 -3.0135e+00 -8.6326e-01 +1.9038e+00 -4.4420e+00 +4.7732e+00 -1.3245e+00 +4.5293e+00
5 +2.993294821e+06 +2.993294821e+06 +2.993084941e+06 +2.993084941e+06 -4.9298e+00 +4.1844e+00 -2.0295e+00 +3.7449e+00 -2.1119e+00 -1.6417e+00 -2.5848e+00 -2.4401e+00 +1.3636e+00 -3.5842e+00 +2.1131e+00 -2.5602e+00 -4.8191e+00 +2.6916e+00 +4.7623e+00 -4.5695e+00 -1.8969e+00 +3.5976e+00 -3.4561e+00 +1.4203e+00
112 +1.519929453e+06 +1.519929453e+06 +1.519719573e+06 +1.519719573e+06 -3.4456e+00 -4.2271e+00 +1.2108e+00 +1.9284e+00 -7.4929e-01 +5.3718e-01 -3.9453e+00 +7.2931e-01 +1.3248e+00 -2.7929e+00 +1.6075e+00 +1.3400e-01 -3.6827e-01 +2.4608e+00 -1.5060e+00 -3.1720e+00 -3.4747e+00 +3.6482e+00 -1.4709e+00 +2.8232e+00
503 +9.763192984e+05 +9.763192984e+05 +9.761094184e+05 +9.761094184e+05 -2.9869e-01 +4.9940e-01 +5.9331e+00 +1.0103e-02 -5.0273e+00 +3.3261e+00 -3.5823e+00 -3.4459e+00 -2.8026e+00 +1.2043e+00 -1.8901e-01 +1.7795e+00 -2.5795e+00 +9.7443e-01 -1.8443e+00 -5.0137e+00 -1.8499e+00 +3.0159e+00 -2.4887e+00 +1.2887e+00
1002 +4.959748792e+05 +4.959748792e+05 +4.957649992e+05 +4.957649992e+05 +8.1018e+00 +1.5122e+00 -3.1109e+00 -4.9239e+00 -4.8402e+00 +3.7770e+00 +1.3221e+00 +3.7782e+00 +2.2404e+00 +4.8156e+00 +1.7817e+00 -5.2129e-01 -2.6625e-01 +8.2402e-02 -8.8150e-01 -2.9100e+00 -3.5023e+00 +2.2485e+00 -2.7603e+00 +2.1574e+00
1204 +3.439136962e+05 +3.439136962e+05 +3.437038162e+05 +3.437038162e+05 +3.4366e+00 +7.7062e-01 +3.3447e+00 +2.6222e+00 +5.3549e+00 -2.6966e+00 +3.0995e+00 -1.8186e+00 -4.2896e+00 -1.2932e+00 +2.9952e+00 +2.2723e+00 +1.1938e+00 +3.0209e-01 -2.4424e+00 -3.8707e+00 -4.1698e+00 +3.5560e+00 -2.4020e+00 +2.0445e+00
1445 +2.271686509e+05 +2.271686509e+05 +2.269587709e+05 +2.269587709e+05 -6.5374e+00 +1.5332e+00 +6.4079e-01 -3.4974e+00 -1.2544e+00 -1.5913e+00 -1.3713e+00 +2.0990e+00 -5.3984e+00 +1.6234e+00 -3.3664e+00 +2.3837e+00 +4.0513e+00 -1.5162e+00 -1.8681e+00 -2.5967e+00 -3.5183e+00 +2.5674e+00 -2.5227e+00 +1.8539e+00
1803 +1.269431392e+05 +1.269431392e+05 +1.267332592e+05 +1.267332592e+05 -6.5374e+00 +1.5332e+00 +1.1235e-01 -4.3880e+00 -1.2544e+00 -1.5913e+00 -1.3713e+00 +2.0990e+00 -8.7011e+00 +2.7527e+00 -3.3343e+00 +2.3837e+00 +4.1887e+00 -1.5162e+00 -1.8681e+00 -2.9344e+00 -3.5183e+00 +2.9256e+00 -2.5227e+00 +1.8539e+00
2204 +6.590842941e+04 +6.590842941e+04 +6.569854941e+04 +6.569854941e+04 +5.3823e+00 +2.8860e+00 +2.6052e+00 +7.2096e+00 +4.3145e+00 +5.1147e+00 +1.9137e-01 -6.6653e+00 -3.4453e-01 -1.1258e+00 -1.8500e+00 +2.8375e+00 +3.5194e+00 -1.7423e+00 -1.1213e+00 -4.4221e+00 -3.1024e+00 +2.9224e+00 -2.3961e+00 +1.9568e+00
