% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.292413841e+03 +3.292413841e+03 +2.830323841e+03 +2.830323841e+03 +1.5524e+00 +2.9291e+00 -1.8421e-01 +3.1837e+00 +1.2495e+00 -4.4291e+00 -1.3287e+00 +2.7340e-01 +4.9834e+00 +3.9951e-01 -2.1907e+00 -9.2368e-01 -1.2917e+00 -1.1528e+00 +1.7364e+00 -1.4588e+00 -1.8316e+00 +8.2551e-01 +3.0497e+00 +2.8832e+00
7 +1.778486907e+03 +1.778486907e+03 +1.316396907e+03 +1.316396907e+03 -2.7040e+00 -2.4812e+00 -3.5699e+00 +2.8803e+00 +3.0903e+00 -4.7332e+00 +3.1018e+00 +8.3820e-01 +3.2835e+00 +1.0739e+00 +1.8831e+00 -4.4549e+00 -6.1370e-01 -1.2409e-01 -9.9573e-01 +1.1401e+00 -5.5301e-01 -2.6546e+00 -1.8954e+00 +2.3209e-01
8 +1.497267884e+03 +1.497267884e+03 +1.035177884e+03 +1.035177884e+03 -1.5764e+00 +3.7797e-01 -4.2440e+00 +2.7052e-01 +2.9565e+00 +2.6640e+00 -3.7984e+00 -1.0478e+00 +1.6682e+00 +4.5627e+00 -4.1818e+00 +5.6342e-01 -2.8682e+00 +2.8370e+00 -2.0517e+00 -2.6167e+00 -1.6623e-01 +4.8154e+00 -4.8342e+00 +2.6299e+00
30 +8.772415889e+02 +8.772415889e+02 +4.151515889e+02 +4.151515889e+02 -7.2541e-01 +3.0077e+00 +1.2413e+00 +1.5584e+00 -7.0439e-01 -3.4799e+00 -2.6116e+00 -1.5235e+00 +2.2642e+00 -3.1461e-01 -3.4934e-01 +2.9293e-02 -3.5223e+00 +1.9475e-01 -3.5284e+00 -3.2665e-01 -4.0244e-02 +4.9531e+00 +1.9729e+00 +6.6634e-01
222 +6.021463545e+02 +6.021463545e+02 +1.400563545e+02 +1.400563545e+02 +1.4708e+00 -9.4053e-01 -3.9942e+00 +1.7078e+00 +1.1256e+00 -3.9480e+00 -1.0433e+00 +8.4572e-01 +7.2846e-01 +1.8831e+00 -6.6324e-01 -4.1293e+00 -4.1134e-01 -2.7797e+00 -3.0732e+00 -9.2578e-01 -2.3265e-01 +3.9526e+00 +1.3646e+00 +2.0700e+00
538 +3.347249280e+02 +3.347249280e+02 -1.273650720e+02 -1.273650720e+02 -3.0666e-01 +2.8285e-01 +1.1653e+00 -8.5352e-02 -9.5588e-01 -6.9945e-01 -1.4400e+00 +1.5396e+00 +1.9277e+00 +1.7236e+00 +2.1378e+00 -3.4473e+00 -8.8537e-01 -4.2340e+00 -1.0871e+00 -3.4279e+00 -1.0398e+00 +2.2803e+00 +1.6342e+00 +2.0474e+00
1225 +2.501648868e+02 +2.501648868e+02 -2.119251132e+02 -2.119251132e+02 -5.8726e-01 +1.6161e+00 +2.3745e+00 -5.0830e-01 +1.5055e+00 -1.7928e+00 +7.7696e-01 +2.6428e+00 +6.5322e-01 +1.9998e+00 +1.7364e+00 -3.2871e+00 -8.3941e-01 -4.8115e+00 +1.1791e-01 -3.4630e+00 -4.5165e-01 +2.5350e+00 +2.1158e+00 +9.1933e-01
3159 +1.489968198e+02 +1.489968198e+02 -3.130931802e+02 -3.130931802e+02 -6.1050e-01 +2.4529e+00 +1.2494e+00 +6.7057e-01 +1.6134e+00 +1.3616e+00 +4.9613e-01 +3.8154e+00 +1.3276e+00 +2.1914e-01 +1.2813e+00 -4.2172e+00 -1.1059e+00 -4.7224e+00 +8.9572e-01 -4.1489e+00 -4.4744e-01 +3.6783e+00 +2.5317e+00 +1.1313e+00
8638 +9.936504726e+01 +9.936504726e+01 -3.627249527e+02 -3.627249527e+02 +2.8839e-01 +2.1799e+00 +1.2841e+00 -1.7674e-01 +2.1368e+00 +3.5676e+00 +4.7719e-01 +3.9860e+00 -9.3849e-03 +1.1656e-01 +1.1684e+00 -4.3060e+00 +1.1376e-01 -4.7489e+00 +1.3529e+00 -3.9160e+00 -4.8042e-01 +3.3300e+00 +2.5107e+00 +1.5416e+00
15534 +6.301382389e+01 +6.301382389e+01 -3.990761761e+02 -3.990761761e+02 +3.9649e-01 +2.2920e+00 +1.3189e+00 -1.5944e-01 +2.2962e+00 +3.6354e+00 +4.7471e-01 +2.5616e+00 +6.6313e-02 +6.4639e-02 +1.2502e+00 -4.3248e+00 +1.3198e-01 -4.6879e+00 +1.3782e+00 -3.9183e+00 -4.7475e-01 +3.3251e+00 +2.5052e+00 +1.5051e+00
42013 +3.773296858e+01 +3.773296858e+01 -4.243570314e+02 -4.243570314e+02 +3.9351e-01 +2.2743e+00 +1.3007e+00 -1.4720e-01 +2.2795e+00 +2.9277e+00 +4.7127e-01 +2.5552e+00 +1.1422e+00 +4.7540e-02 +1.2614e+00 -4.2611e+00 +1.2294e-01 -2.9227e+00 +1.3833e+00 -3.9052e+00 -4.7795e-01 +3.3252e+00 +2.5046e+00 +1.8021e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.139540921e+03 +3.139540921e+03 +3.217200921e+03 +3.217200921e+03 -7.3542e-01 -7.2050e-01 -4.0426e+00 +2.0645e+00 -1.1928e-01 -2.8858e+00 -4.3359e+00 -3.0366e+00 -1.4171e+00 +1.2175e+00 -2.7769e+00 -6.1663e-02 -3.6762e+00 -7.6000e-01 +4.6533e+00 +1.1966e+00 -5.3395e-01 +1.1288e+00 +3.6876e+00 +5.8732e-01
15 +1.484001276e+03 +1.484001276e+03 +1.561661276e+03 +1.561661276e+03 +3.0912e+00 -1.1071e+00 +6.6372e-01 -2.1321e+00 -3.8794e-01 +1.1396e+00 -1.3629e+00 +4.7963e+00 -1.3595e+00 -2.7317e+00 -1.3883e+00 +7.1070e-01 +3.8493e-01 -8.4525e-01 -3.9154e+00 -1.7811e+00 +1.1534e+00 -1.7995e+00 -3.2160e+00 -1.0931e+00
55 +9.925893282e+02 +9.925893282e+02 +1.070249328e+03 +1.070249328e+03 +1.2516e+00 +1.1932e+00 +1.7021e+00 -3.8270e+00 -4.3756e+00 -2.6802e-01 +1.6117e+00 +5.0000e+00 -2.5412e+00 -1.0044e+00 +1.6522e-01 -3.0308e+00 -1.6865e+00 -1.5837e+00 -1.7783e+00 +3.9560e-01 -2.0906e+00 -3.6881e+00 +1.5463e+00 -2.7478e-01
