% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.484707545e+01 +8.484707545e+01 +1.256270754e+02 +1.256270754e+02 -4.2494e+00 -3.2151e+00 +3.4422e+00 +2.7588e+00 -1.6478e+00 -5.0045e-01 +2.9104e+00 -1.3354e+00 -4.9805e+00 -1.4482e+00 +2.8002e+00 -3.4316e+00 -3.2794e+00 +1.1767e+00 +1.2207e+00 -1.3291e+00 -1.1429e+00 -2.2059e+00 +3.7034e+00 +2.9077e+00
357 +6.138970102e+01 +6.138970102e+01 +1.021697010e+02 +1.021697010e+02 -1.9005e+00 -2.7463e+00 +4.9796e+00 +1.5145e+00 +9.2413e-01 +4.6637e+00 +3.6317e-01 +4.5071e-01 +2.9162e+00 +3.3474e-02 +7.8585e-01 +3.2403e+00 -4.1634e+00 -5.0000e+00 +2.4351e+00 -2.6654e+00 -1.7176e+00 +3.6633e+00 +4.4722e-01 +1.9662e+00
690 +3.931801037e+01 +3.931801037e+01 +8.009801037e+01 +8.009801037e+01 -5.5927e-01 -2.9521e+00 +1.6870e+00 +1.3379e+00 -1.2658e+00 +3.5275e+00 -1.6722e+00 +2.1506e+00 +3.3917e+00 +9.8262e-01 +2.3182e+00 +2.4445e+00 -3.3661e+00 -4.2471e+00 +2.5973e+00 -3.3406e+00 +0.0000e+00 +2.4908e+00 +1.6498e+00 +8.2804e-01
973 +2.200204094e+01 +2.200204094e+01 +6.278204094e+01 +6.278204094e+01 -2.4641e-01 -2.2819e+00 +1.7715e+00 +7.6922e-01 -2.5631e+00 +3.9461e+00 -2.9608e+00 +1.5541e-01 +2.8795e+00 -1.7574e+00 +2.6419e+00 +1.9329e+00 -3.8977e+00 -4.7034e+00 +2.7651e+00 -4.3460e+00 -1.4106e+00 +3.6970e+00 +1.1441e+00 +2.6028e+00
1404 +1.524526381e+01 +1.524526381e+01 +5.602526381e+01 +5.602526381e+01 +1.0502e-01 -1.1568e+00 +2.2850e+00 +4.0308e+00 -1.1390e+00 +4.4476e+00 -2.7472e+00 +3.7913e-01 +2.6294e+00 -5.6741e-01 +2.9464e+00 +1.2631e+00 -3.7690e+00 -4.4632e+00 +2.4756e+00 -4.3182e+00 -1.5388e+00 +3.1322e+00 +5.6423e-01 +2.7762e+00
1896 +9.458504191e+00 +9.458504191e+00 +5.023850419e+01 +5.023850419e+01 +2.8606e-02 -5.7985e-01 +2.1115e+00 +2.5003e+00 -1.1741e+00 +4.3333e+00 -2.7914e+00 +2.7355e-01 +2.8317e+00 -1.4774e-01 +2.8637e+00 +1.2466e+00 -3.1251e+00 -4.6984e+00 +2.2660e+00 -4.4430e+00 -2.0843e+00 +2.9310e+00 +3.8493e-01 +2.5380e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.622413648e+01 +8.622413648e+01 +8.462413648e+01 +8.462413648e+01 +1.2486e+00 +3.2986e+00 -1.4492e+00 +4.6269e+00 +3.7533e+00 +4.2407e+00 +1.0670e+00 +8.6916e-02 -1.5257e+00 -5.4854e-01 +4.7058e+00 +1.1684e+00 +1.7246e+00 +3.6465e+00 +9.6979e-01 +3.7218e+00 +3.5987e+00 -3.1635e+00 +3.4258e+00 -2.6235e+00
254 +5.468683552e+01 +5.468683552e+01 +5.308683552e+01 +5.308683552e+01 +5.7965e-01 +1.6668e+00 -1.1623e+00 +4.9810e+00 -3.7769e+00 +3.5944e+00 +2.0086e+00 -3.0820e+00 -1.2159e+00 -5.0000e+00 +4.7555e+00 -6.1570e-01 -1.2766e+00 -1.4473e+00 +1.4359e+00 -2.3715e+00 +5.0000e+00 +1.0835e+00 +4.2891e-01 -2.2890e+00
394 +3.148345922e+01 +3.148345922e+01 +2.988345922e+01 +2.988345922e+01 +8.5757e-01 +2.7192e-01 -2.6955e+00 +3.5352e+00 -4.5724e+00 +2.9649e+00 +1.7870e+00 -3.5511e+00 -2.4953e+00 -4.5524e+00 +3.9887e+00 -1.5293e+00 -1.6976e+00 -2.4981e+00 +6.6043e-01 -2.0439e-02 +4.0422e+00 +2.9356e+00 +4.3310e-01 +9.1024e-01
838 +2.445847315e+01 +2.445847315e+01 +2.285847315e+01 +2.285847315e+01 +3.1771e-01 +1.4795e-01 -3.0755e+00 +2.7737e+00 -4.5666e+00 +2.9987e+00 +1.5697e+00 -3.0412e+00 -1.3783e+00 -4.8650e+00 +4.4261e+00 -1.0803e+00 -1.8876e+00 -4.9689e+00 +1.1695e+00 -9.4412e-01 +3.5740e+00 +4.5495e+00 +5.4923e-01 +8.5529e-01
1187 +1.556747837e+01 +1.556747837e+01 +1.396747837e+01 +1.396747837e+01 -4.1428e-01 +1.0585e+00 -3.3003e+00 +3.5886e+00 -4.2947e+00 +2.2047e+00 +2.3001e+00 -2.6712e+00 -9.7954e-01 -4.6511e+00 +4.2801e+00 -6.7380e-01 -5.5920e-01 -4.3080e+00 +2.0951e+00 -8.5329e-01 +3.8724e+00 +2.5532e+00 +6.1020e-01 -5.6219e-01
2028 +9.873067351e+00 +9.873067351e+00 +8.273067351e+00 +8.273067351e+00 -1.4669e+00 +1.0457e+00 -3.7447e+00 +2.9126e+00 -4.3765e+00 +1.6690e+00 +2.6584e+00 -2.2884e+00 -1.6092e+00 -4.9476e+00 +4.2562e+00 -1.1915e+00 -8.3162e-01 -4.2974e+00 +2.8471e+00 -6.2215e-01 +2.6106e+00 +3.0594e+00 +1.3481e+00 +3.7355e-01
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.607075168e+01 +8.607075168e+01 -2.847692483e+02 -2.847692483e+02 +2.1726e+00 +4.5245e+00 -1.0780e-01 -8.8086e-01 +2.1742e+00 +2.8103e+00 -2.4505e+00 +9.3784e-01 -4.0462e+00 +4.7862e+00 -2.7887e+00 -1.9251e+00 +4.6412e+00 +4.0770e+00 +4.1833e+00 -3.1590e+00 +6.7146e-01 -3.1920e-01 +2.4065e+00 -1.2287e-01
246 +6.088454605e+01 +6.088454605e+01 -3.099554540e+02 -3.099554540e+02 +2.3418e+00 -1.8950e+00 +9.8725e-01 -2.5866e-01 +5.0000e+00 -3.4867e+00 -2.8666e+00 +3.0327e+00 -2.4675e+00 +2.3921e+00 -3.6135e+00 +2.2085e+00 +2.2684e+00 -7.8396e-01 -9.7402e-01 +3.4746e-01 -2.0589e+00 +1.2892e+00 -6.3412e-01 +3.6265e-01
427 +3.590262946e+01 +3.590262946e+01 -3.349373705e+02 -3.349373705e+02 -4.4953e-01 +2.6810e+00 +1.2706e+00 -7.6939e-02 +3.6052e+00 -3.7575e+00 -3.0870e+00 +2.5931e+00 -2.7150e+00 +1.1290e+00 -1.6722e+00 +0.0000e+00 +3.9602e+00 -2.9702e-01 -2.7094e+00 +1.2523e-01 -3.3169e+00 +1.3088e+00 +1.9998e+00 -1.5426e+00
699 +1.991389120e+01 +1.991389120e+01 -3.509261088e+02 -3.509261088e+02 -7.0937e-01 +3.1580e+00 +2.0015e+00 +1.4249e-01 +4.7139e+00 -4.3083e+00 -4.1602e+00 +4.4425e+00 -3.9676e+00 +1.6865e+00 -4.4264e+00 +1.2522e+00 +2.0461e+00 -2.3083e+00 -2.1385e+00 +1.5710e-01 -3.1625e+00 +1.8631e+00 +3.0290e+00 +8.0845e-01
859 +1.583975676e+01 +1.583975676e+01 -3.550002432e+02 -3.550002432e+02 -3.9754e-01 +2.2597e+00 +1.5239e+00 +1.3527e+00 +4.8083e+00 -4.2962e+00 -4.1948e+00 +4.1777e+00 -5.0000e+00 +1.6244e+00 -4.3698e+00 +1.2157e+00 +2.0775e+00 -2.0844e+00 -2.3003e+00 -1.1864e-02 -2.9615e+00 +1.9433e+00 +2.5788e+00 +4.3938e-01
1070 +9.474950306e+00 +9.474950306e+00 -3.613650497e+02 -3.613650497e+02 -5.2237e-01 +1.7507e+00 +2.7405e+00 +2.0883e+00 +4.3356e+00 -4.3716e+00 -3.2890e+00 +2.9998e+00 -4.5350e+00 +1.8117e+00 -3.8789e+00 +9.0200e-01 +3.2090e+00 -3.2387e+00 -2.5190e+00 -9.4236e-03 -3.4919e+00 +2.6689e+00 +2.9234e+00 -5.1395e-01
