% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.980951027e+03 +6.980951027e+03 +6.518861027e+03 +6.518861027e+03 +2.2771e+00 -9.5391e-01 +1.1062e+00 +4.9186e+00 +4.1287e-01 -2.4496e-01 +1.7021e+00 -2.9341e+00 -6.1805e-01 -1.6466e+00 -3.3598e+00 +1.2078e-01 -4.7173e+00 -3.5258e+00 +4.6652e+00 +1.6101e+00 +5.5225e-01 -3.2374e+00 -2.3730e+00 -1.5059e+00
2 +3.958109579e+03 +3.958109579e+03 +3.496019579e+03 +3.496019579e+03 -3.0952e+00 -3.4355e-01 -3.3368e+00 -1.0300e+00 +1.6871e+00 +3.4241e+00 +3.1324e+00 +2.1066e+00 +4.4035e+00 +6.4612e-01 -4.3769e+00 -4.9899e+00 -2.4914e+00 +3.1049e+00 -1.7765e+00 +4.0442e+00 +5.5089e-01 -4.0605e+00 -2.6967e+00 -3.0253e+00
7 +2.446631075e+03 +2.446631075e+03 +1.984541075e+03 +1.984541075e+03 -1.7137e+00 +1.5120e+00 -3.4876e+00 -3.1180e+00 +2.2195e+00 -2.1983e+00 +1.0810e-01 -3.9741e-01 -7.3857e-01 -4.4524e+00 +4.1743e+00 +2.8894e+00 -4.4542e+00 +9.5526e-01 -2.0487e+00 +2.6070e+00 +2.6140e-01 -3.7968e+00 +3.4375e-01 -4.1254e+00
19 +1.424560779e+03 +1.424560779e+03 +9.624707785e+02 +9.624707785e+02 +2.8457e+00 -7.8702e-01 -1.7785e+00 -4.8334e+00 +1.8607e+00 -9.7276e-01 +3.2131e+00 +3.6228e+00 -4.9475e+00 -3.7152e+00 -4.1543e+00 +3.1152e+00 -4.9818e+00 -4.8313e+00 -1.4947e+00 +2.0046e+00 +2.6653e-01 -2.3560e-02 +2.1183e+00 -6.2255e-01
133 +9.782880223e+02 +9.782880223e+02 +5.161980223e+02 +5.161980223e+02 -9.6909e-01 +3.9701e+00 -4.8795e+00 -4.7178e+00 -2.8681e+00 -2.5116e+00 -4.1772e+00 +4.0746e+00 -2.7194e+00 -2.8639e+00 -7.2596e-01 -3.1366e+00 -1.4864e-01 -5.4258e-01 -1.0853e+00 -3.8080e+00 -2.1166e+00 +2.4784e+00 +2.3866e+00 -2.7435e+00
1337 +5.733910548e+02 +5.733910548e+02 +1.113010548e+02 +1.113010548e+02 -2.1665e+00 +2.2024e+00 +7.9693e-01 -1.8704e+00 +6.3793e-01 -3.3831e-01 -1.1639e+00 +2.5254e+00 -3.2932e+00 -2.4679e+00 -3.3184e-01 -3.2889e+00 -3.6059e+00 -2.4430e+00 +4.7681e-01 -1.1147e+00 -1.6054e+00 +4.9146e+00 +2.9845e+00 +9.8604e-01
3602 +3.761486722e+02 +3.761486722e+02 -8.594132782e+01 -8.594132782e+01 -2.6561e+00 +2.6776e+00 +1.6724e+00 -2.2052e+00 +1.4364e+00 +2.3094e+00 +2.7881e+00 +4.8494e+00 +1.7121e+00 +8.0594e-01 +5.8723e-01 -4.1501e+00 -3.2251e-01 -2.6086e+00 +1.4891e+00 -5.0098e+00 -2.5273e+00 +3.2866e+00 +2.3642e+00 +2.8885e+00
5803 +2.322586221e+02 +2.322586221e+02 -2.298313779e+02 -2.298313779e+02 +2.3057e-01 +1.3054e+00 +5.2907e-01 +3.0840e-01 -5.5958e-01 +8.6927e-01 +2.1897e+00 +2.3397e+00 -2.4202e-01 -1.0047e+00 +2.4301e+00 -3.3680e+00 -1.8046e+00 -2.9518e+00 +9.8870e-01 -3.1470e+00 -8.0438e-01 +3.6565e+00 +2.8232e+00 +1.5988e+00
16125 +1.498640577e+02 +1.498640577e+02 -3.122259423e+02 -3.122259423e+02 -1.7092e+00 +1.3504e+00 +1.3836e+00 +5.9887e-01 +8.4762e-01 +2.8352e+00 +2.1341e+00 +1.3598e+00 +5.6046e-01 -1.1176e+00 +1.7856e+00 -4.3056e+00 -7.0026e-01 -2.4462e+00 +9.5959e-01 -3.2538e+00 -5.3670e-01 +2.5386e+00 +2.5113e+00 +1.8157e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
