% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.151449039e+01 +1.151449039e+01 +1.838449039e+01 +1.838449039e+01 +2.4502e+00 -4.1775e+00 +3.6763e-01 +4.4331e+00 +3.6051e+00 +2.5557e+00 -3.3973e+00 +3.3136e+00 +3.4173e+00 +1.9447e+00 +4.4929e+00 +2.6341e+00 +2.8735e+00 -3.3452e+00 -4.0177e+00 +3.4169e-02 +4.1806e+00 +4.7259e+00 +3.1906e+00 -4.0648e+00
7 +9.429617366e+00 +9.429617366e+00 +1.629961737e+01 +1.629961737e+01 -3.5332e+00 +4.8751e+00 -4.6063e+00 -1.6053e+00 +1.9957e+00 +1.6130e+00 +3.9776e+00 +2.0563e+00 -3.0918e+00 +1.1365e+00 +4.0001e+00 +1.7256e+00 +1.9971e+00 +2.9060e+00 -2.9491e+00 +4.3539e+00 -4.1968e+00 -2.6706e+00 -8.7882e-01 +1.8012e-01
34 +4.541390344e+00 +4.541390344e+00 +1.141139034e+01 +1.141139034e+01 -4.1783e+00 -4.8859e+00 +4.8272e+00 -3.5812e+00 +9.5652e-01 +4.4543e-01 +3.2393e+00 +3.7906e+00 +1.8688e-01 +2.8260e-01 -4.6528e+00 +3.1112e+00 -4.8734e+00 +1.3202e+00 +2.6628e+00 -3.7529e+00 +1.0298e+00 +2.1661e+00 -1.3778e+00 -2.2270e+00
37 +3.847272891e+00 +3.847272891e+00 +1.071727289e+01 +1.071727289e+01 -4.6046e+00 -2.3639e+00 +4.1488e+00 +6.4630e-01 -4.8594e+00 -4.8499e+00 +3.6727e+00 +4.3031e+00 +1.2667e+00 -2.8641e+00 +4.1437e+00 +4.1019e+00 -3.3189e+00 -4.8110e+00 -4.7229e-01 -1.1684e+00 -4.5574e+00 -4.1697e+00 -6.4789e-02 -1.1923e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.097079911e+01 +1.097079911e+01 +1.098079911e+01 +1.098079911e+01 +3.9031e+00 -4.6930e+00 +4.4792e+00 -4.2763e+00 -4.4814e+00 -4.8934e+00 -4.4137e+00 -4.7292e+00 -2.6717e+00 +1.2917e+00 +3.5881e+00 +4.8059e+00 +1.3006e+00 -2.1276e+00 -3.0619e-01 -2.2176e+00 +4.9818e+00 +1.5145e+00 -4.4400e+00 -4.5754e+00
10 +9.600496766e+00 +9.600496766e+00 +9.610496766e+00 +9.610496766e+00 +2.0247e+00 -3.9484e+00 +2.2955e+00 +3.3495e+00 +2.6812e+00 +2.9823e+00 -7.6720e-01 -3.5757e+00 +2.6399e+00 +3.4595e+00 +4.3906e+00 +4.3495e+00 -7.5208e-01 -4.9370e+00 -3.2153e+00 +7.4555e-02 +3.6264e+00 +4.1639e+00 +2.1016e+00 -2.7302e+00
20 +5.567177034e+00 +5.567177034e+00 +5.577177034e+00 +5.577177034e+00 -2.7792e+00 -3.3658e+00 -3.5682e+00 +1.3215e+00 -2.3762e+00 +2.6430e+00 -3.7096e+00 +2.9172e-01 -4.4871e+00 +3.9173e+00 +2.5179e+00 -1.6696e+00 +2.5797e+00 +3.9983e+00 -2.3712e+00 -3.8688e+00 -3.8731e+00 -4.0436e+00 +3.5314e+00 -2.2539e+00
9459 +3.580353778e+00 +3.580353778e+00 +3.590353778e+00 +3.590353778e+00 +8.0714e-02 -3.5758e+00 -5.3350e-01 +4.9901e+00 -9.3300e-01 -3.3377e-01 +2.1472e+00 +9.1607e-01 +3.5552e+00 +7.3102e-01 -2.1155e+00 -1.7024e+00 -4.5051e+00 +7.7767e-01 +4.1795e+00 +2.4712e+00 +3.8628e+00 -3.5335e+00 +3.7038e+00 +4.8761e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
