% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.219715265e+02 +5.219715265e+02 +5.127615265e+02 +5.127615265e+02 -8.2549e-01 +3.8998e-01 -1.8215e+00 -2.4838e+00 +3.5685e+00 -2.8065e+00 -2.7401e-01 -3.8546e+00 -1.9184e+00 +3.5174e+00 +1.2934e+00 -1.7185e+00 +2.5262e+00 -3.9492e+00 +2.2668e-02 +7.5847e-01 -3.7502e-01 -3.1165e+00 -1.4534e-01 -4.3710e+00
2 +3.597643289e+02 +3.597643289e+02 +3.505543289e+02 +3.505543289e+02 -3.6218e+00 -2.5301e+00 +3.9006e+00 -1.9349e+00 -1.4175e+00 -9.3786e-01 -2.6377e-01 -3.5407e+00 -1.1413e+00 +4.7059e+00 -1.5691e+00 +1.4228e+00 -1.1755e+00 +1.4510e-01 -2.4106e+00 +4.5469e+00 -1.8812e+00 +4.3487e+00 -4.9855e+00 +2.3145e+00
300 +2.379682959e+02 +2.379682959e+02 +2.287582959e+02 +2.287582959e+02 -2.1706e+00 +3.9416e-02 +1.2178e+00 -3.1855e+00 +1.4635e+00 -3.6766e+00 -1.9951e+00 +2.9474e+00 +2.4495e+00 -1.5292e+00 +1.4515e+00 -7.1404e-01 -3.8613e+00 +1.0048e+00 -4.2789e+00 -2.3032e+00 +1.2275e+00 +4.8623e+00 -4.8851e+00 +4.8164e+00
1979 +1.315992025e+02 +1.315992025e+02 +1.223892025e+02 +1.223892025e+02 +4.4976e+00 +1.7667e+00 +6.1728e-01 -1.1406e+00 -4.3047e-01 +4.3422e+00 +3.3790e+00 +5.5150e+00 +2.7038e+00 -7.9948e-02 -4.1831e+00 -4.2828e+00 +3.8613e+00 +1.0048e+00 -4.2789e+00 -2.3032e+00 +1.2275e+00 +4.8623e+00 -4.8851e+00 +4.8164e+00
3962 +9.687639395e+01 +9.687639395e+01 +8.766639395e+01 +8.766639395e+01 +4.4976e+00 +3.2516e+00 -4.2603e-01 +2.0979e+00 -1.9801e+00 -1.2740e-01 -2.3657e+00 +5.5150e+00 +4.9481e+00 -7.9948e-02 -3.1130e+00 -4.3988e+00 +3.4515e+00 +4.0832e+00 -4.3996e+00 -3.2975e+00 +4.8386e+00 +4.7998e+00 -4.8851e+00 +4.8164e+00
5263 +6.091566435e+01 +6.091566435e+01 +5.170566435e+01 +5.170566435e+01 +4.4976e+00 +3.2673e+00 +4.6901e+00 +2.5120e+00 -4.9198e+00 +2.3538e+00 +3.9295e+00 +3.2779e+00 +4.9462e+00 -4.8186e+00 -4.1002e+00 -4.9176e+00 +2.5234e+00 +4.4361e+00 -3.7051e+00 -4.8201e+00 +3.0133e+00 +4.8621e+00 -4.8851e+00 +4.8164e+00
6397 +3.796541741e+01 +3.796541741e+01 +2.875541741e+01 +2.875541741e+01 +4.2476e+00 -1.6001e+00 +4.9358e+00 +4.6908e+00 -4.9198e+00 +2.3538e+00 +3.9295e+00 +3.2779e+00 +4.9472e+00 -4.8186e+00 -4.9442e+00 -4.4340e+00 +4.4777e+00 +4.3332e+00 -4.3996e+00 -4.8191e+00 +4.8229e+00 +4.8623e+00 -4.8856e+00 +4.8169e+00
8743 +2.460186665e+01 +2.460186665e+01 +1.539186665e+01 +1.539186665e+01 +3.1917e+00 +4.0336e+00 +4.9983e+00 +5.6908e+00 -6.0801e+00 +4.8711e+00 +3.9881e+00 +4.9834e+00 +4.9462e+00 -4.8187e+00 -4.0377e+00 -4.8888e+00 +4.4777e+00 +4.3332e+00 -4.3996e+00 -4.8191e+00 +4.7834e+00 +4.8598e+00 -4.8851e+00 +4.8477e+00
9803 +1.396230817e+01 +1.396230817e+01 +4.752308174e+00 +4.752308174e+00 +4.4976e+00 +5.9226e+00 +4.9358e+00 +5.6908e+00 -4.9198e+00 +5.3097e+00 +7.5209e+00 +4.9837e+00 +4.6962e+00 -4.8187e+00 -4.0377e+00 -4.4512e+00 +6.6484e+00 +5.0048e+00 -7.7051e+00 -4.8191e+00 +4.7834e+00 +4.8623e+00 -4.8851e+00 +4.8164e+00
10780 +9.860446343e+00 +9.860446343e+00 +6.504463431e-01 +6.504463431e-01 +4.2476e+00 +4.0336e+00 +4.9358e+00 +5.6908e+00 -4.9198e+00 +4.8398e+00 +3.9881e+00 +4.9834e+00 +4.9462e+00 -6.0217e+00 -4.7640e+00 -4.9513e+00 +4.4777e+00 +7.6686e+00 -4.8276e+00 -5.2398e+00 +7.9236e+00 +4.8620e+00 -5.8851e+00 +6.8169e+00
11944 +6.180495596e+00 +6.180495596e+00 -3.029504404e+00 -3.029504404e+00 +4.4971e+00 +6.2760e+00 +4.9358e+00 +5.6908e+00 -4.2274e+00 +5.3097e+00 +7.7381e+00 +4.9837e+00 +5.9462e+00 -6.0218e+00 -4.8265e+00 -4.9512e+00 +7.5077e+00 +4.8982e+00 -4.8276e+00 -5.2398e+00 +5.2431e+00 +4.8618e+00 -4.8851e+00 +5.5285e+00
12640 +3.866540116e+00 +3.866540116e+00 -5.343459884e+00 -5.343459884e+00 +4.4932e+00 +5.9226e+00 +4.6901e+00 +4.6908e+00 -4.9198e+00 +5.3097e+00 +7.5209e+00 +4.9834e+00 +4.9462e+00 -4.8186e+00 -4.9382e+00 -4.9513e+00 +7.5077e+00 +4.9598e+00 -5.2789e+00 -5.2086e+00 +7.9236e+00 +4.8620e+00 -5.8851e+00 +6.8164e+00
13633 +2.479850046e+00 +2.479850046e+00 -6.730149954e+00 -6.730149954e+00 +4.2471e+00 +6.2760e+00 +4.9358e+00 +5.6986e+00 -4.9188e+00 +5.8097e+00 +7.7708e+00 +4.9837e+00 +5.9150e+00 -6.0222e+00 -4.9382e+00 -4.9513e+00 +7.5076e+00 +5.0043e+00 -5.2789e+00 -5.2086e+00 +7.9236e+00 +4.8620e+00 -5.9476e+00 +6.8169e+00
15201 +1.474408853e+00 +1.474408853e+00 -7.735591147e+00 -7.735591147e+00 +6.4976e+00 +5.9226e+00 +4.9358e+00 +5.6908e+00 -4.9198e+00 +5.2784e+00 +7.5209e+00 +4.9990e+00 +4.9463e+00 -4.7561e+00 -4.9382e+00 -4.9512e+00 +7.5077e+00 +5.8973e+00 -5.2789e+00 -5.2389e+00 +7.9231e+00 +5.8007e+00 -5.7601e+00 +6.8169e+00
15859 +6.067724686e-01 +6.067724686e-01 -8.603227531e+00 -8.603227531e+00 +6.4976e+00 +5.9226e+00 +4.9358e+00 +5.6908e+00 -4.9198e+00 +5.2784e+00 +7.5209e+00 +4.9990e+00 +5.9150e+00 -6.0222e+00 -4.9382e+00 -4.9513e+00 +7.5076e+00 +5.0043e+00 -5.2789e+00 -5.2389e+00 +7.9231e+00 +5.8008e+00 -5.7601e+00 +6.8169e+00
16468 +2.656746619e-01 +2.656746619e-01 -8.944325338e+00 -8.944325338e+00 +6.4976e+00 +5.9304e+00 +4.9827e+00 +5.6908e+00 -4.9198e+00 +5.3096e+00 +7.7708e+00 +4.9837e+00 +5.9150e+00 -6.0222e+00 -5.8265e+00 -4.9801e+00 +7.5076e+00 +5.0043e+00 -5.2789e+00 -5.2389e+00 +7.9236e+00 +6.8618e+00 -5.7601e+00 +6.8247e+00
17086 +2.398511458e-01 +2.398511458e-01 -8.970148854e+00 -8.970148854e+00 +5.4971e+00 +5.9226e+00 +4.9983e+00 +5.6907e+00 -5.9198e+00 +5.8098e+00 +7.7708e+00 +4.9837e+00 +5.9150e+00 -6.0222e+00 -6.9382e+00 -4.9474e+00 +7.5076e+00 +7.1696e+00 -5.2789e+00 -5.2086e+00 +7.9236e+00 +5.8601e+00 -5.8851e+00 +5.5285e+00
17623 +4.030957143e-02 +4.030957143e-02 -9.169690429e+00 -9.169690429e+00 +5.4971e+00 +5.9226e+00 +4.9983e+00 +5.6908e+00 -5.9198e+00 +5.5597e+00 +7.7708e+00 +4.9837e+00 +5.9462e+00 -6.0218e+00 -5.8270e+00 -5.8883e+00 +6.5292e+00 +5.0042e+00 -7.7051e+00 -5.2389e+00 +7.9231e+00 +5.8603e+00 -5.8851e+00 +5.5285e+00
17659 +2.149195798e-03 +2.149195798e-03 -9.207850804e+00 -9.207850804e+00 +5.4971e+00 +5.9226e+00 +4.9983e+00 +5.7064e+00 -6.9198e+00 +5.3097e+00 +7.7708e+00 +6.8657e+00 +5.9462e+00 -6.0218e+00 -5.8270e+00 -5.8883e+00 +6.5292e+00 +5.0628e+00 -7.7051e+00 -5.4889e+00 +7.9251e+00 +5.8603e+00 -5.8851e+00 +5.5285e+00
18760 +2.131628207e-14 +2.131628207e-14 -9.210000000e+00 -9.210000000e+00 +6.4976e+00 +6.3388e+00 +6.9359e+00 +5.6908e+00 -6.7071e+00 +5.3097e+00 +7.5838e+00 +6.9837e+00 +5.9186e+00 -6.0222e+00 -5.8279e+00 -5.9507e+00 +6.5291e+00 +5.0042e+00 -7.7051e+00 -5.2388e+00 +5.8232e+00 +5.8007e+00 -5.7757e+00 +6.8247e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
