% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.741310268e+01 +7.741310268e+01 +6.047310268e+01 +6.047310268e+01 +1.0190e+00 -4.4568e+00 +1.3228e+00 +4.1331e+00 +4.7867e+00 -1.4911e+00 -1.4802e-01 -4.7731e+00 -2.9633e+00 -4.1349e+00 +2.6683e+00 +3.2437e+00 -1.5897e+00 -1.0043e-01 +1.1588e+00 +3.8682e+00 +1.6765e+00 +4.0502e+00 -2.7840e+00 +1.0975e+00
48 +5.639123058e+01 +5.639123058e+01 +3.945123058e+01 +3.945123058e+01 -2.7891e+00 +3.9006e+00 +5.2981e-01 +2.3362e+00 -3.3741e-01 -2.6193e+00 +3.3002e+00 +2.8905e+00 -2.5644e+00 -3.3667e+00 +2.0892e+00 +8.6147e-01 -2.5255e+00 +1.7859e+00 +3.8390e+00 +3.9848e+00 +3.6733e+00 -1.3842e-01 +3.2390e+00 +2.2746e+00
1102 +3.606209861e+01 +3.606209861e+01 +1.912209861e+01 +1.912209861e+01 -8.0378e-01 +3.2462e+00 -3.6520e-01 -3.3020e+00 +3.9037e+00 -1.0453e+00 +4.1417e+00 +3.1037e-01 -1.0908e+00 -1.5303e+00 +2.0718e+00 +2.1798e+00 -2.3514e+00 -1.7028e+00 -1.6694e-01 +5.5689e+00 +2.8795e+00 -9.8687e-01 -1.2957e+00 +1.1973e+00
2005 +2.263119950e+01 +2.263119950e+01 +5.691199500e+00 +5.691199500e+00 +3.0449e+00 +2.8939e+00 -3.1061e-01 -1.7669e+00 +2.7136e+00 -1.4898e+00 +4.7058e+00 +2.0962e+00 +4.5937e-01 -3.1708e+00 +3.1924e+00 +7.5430e-01 -1.1537e-01 -3.1874e-01 +2.8664e+00 +4.1788e+00 +3.0692e+00 -4.2933e-01 -1.6320e+00 -2.8015e-03
4237 +1.527380919e+01 +1.527380919e+01 -1.666190807e+00 -1.666190807e+00 +7.6530e-01 +1.3866e+00 +1.1699e-01 -2.9348e-02 +3.7678e+00 -1.5676e+00 +2.3013e+00 -9.9917e-01 -3.2784e-01 -2.4446e+00 +4.5483e+00 -8.8107e-02 -3.7655e-01 -9.8001e-01 +2.1047e+00 +3.6290e+00 +2.9839e+00 +1.1460e+00 -7.7980e-01 +1.1377e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.474390083e+01 +7.474390083e+01 +9.355390083e+01 +9.355390083e+01 +3.1276e+00 +4.7465e+00 +2.2747e+00 +4.8632e+00 -2.1856e+00 -4.4055e+00 +2.4005e+00 +3.2188e+00 +4.6057e+00 +1.0546e+00 +1.2336e+00 -1.3076e+00 +4.0706e+00 -2.4310e+00 +4.1901e+00 +1.7887e+00 -4.1150e+00 -2.3371e+00 -3.5111e+00 +1.4330e+00
28 +4.476145235e+01 +4.476145235e+01 +6.357145235e+01 +6.357145235e+01 +5.0821e-01 -2.7791e+00 -6.4984e-01 -4.3925e+00 +1.1184e-01 +2.8167e+00 +2.8708e+00 -1.6108e+00 -3.9791e+00 +2.8221e+00 -2.0818e+00 -1.6231e+00 +4.3114e+00 +3.5231e+00 +3.2385e+00 -8.1326e-01 -4.6473e+00 +4.3625e+00 -2.6410e+00 +2.0482e+00
35 +2.607655127e+01 +2.607655127e+01 +4.488655127e+01 +4.488655127e+01 -1.3654e+00 +2.7116e+00 -2.5292e+00 -9.6454e-01 +5.2838e-02 -4.9018e+00 +2.2155e+00 -2.9267e+00 +3.0503e+00 +3.9590e+00 -2.0754e+00 +2.3538e+00 +3.4885e+00 +1.8406e+00 +1.1374e+00 -3.3115e-01 -4.4876e+00 +4.3132e+00 +9.3794e-01 +3.1864e+00
1101 +2.144899308e+01 +2.144899308e+01 +4.025899308e+01 +4.025899308e+01 +1.2206e-02 +3.8850e+00 -2.2481e+00 +2.0280e+00 +9.8836e-02 -3.9280e+00 +2.3457e+00 -9.2494e-01 +1.4087e+00 +3.1671e+00 -6.8256e-01 +3.8975e+00 +1.4211e+00 -1.2037e+00 +1.6327e+00 -1.3629e+00 -3.9794e+00 +4.1324e+00 -1.0894e+00 +1.7062e+00
