% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.131614795e+05 +7.131614795e+05 +7.131973795e+05 +7.131973795e+05 +9.1013e-01 -3.9590e+00 +3.2618e-01 +2.0247e-01 -3.8939e+00 -4.3013e+00 -2.8689e+00 -1.6123e+00 +3.9915e+00 -1.8707e+00 +8.6135e-01 +6.6291e-01 +2.0408e+00 +4.6230e+00 +2.2614e+00 +2.8027e+00 -2.0147e+00 +2.9848e+00 -4.0165e+00 -4.9479e+00
54 +6.151953637e+05 +6.151953637e+05 +6.152312637e+05 +6.152312637e+05 -4.8544e+00 +3.5432e+00 +1.8140e+00 +1.3648e+00 -3.3428e-01 -4.3356e+00 +3.0410e-01 -4.3099e+00 +2.7865e+00 -1.0336e+00 -1.3248e+00 +4.8963e+00 +3.5810e-01 -5.4863e-03 +3.5002e+00 -2.0315e+00 -4.0174e+00 +1.9637e+00 -4.5289e+00 +3.3739e+00
73 +2.165754198e+05 +2.165754198e+05 +2.166113198e+05 +2.166113198e+05 +3.3257e+00 -1.6596e+00 +2.8832e+00 +4.5286e+00 -4.7595e+00 -3.7012e+00 +1.7964e+00 -3.7613e+00 +4.4859e+00 -2.6266e-01 +3.6082e+00 +1.4097e+00 -1.7004e+00 +4.1182e+00 +3.8081e+00 -1.6894e+00 +3.5303e+00 +4.7547e+00 -2.9308e+00 -4.9791e+00
202 +1.577048572e+05 +1.577048572e+05 +1.577407572e+05 +1.577407572e+05 +2.5889e+00 +2.4811e+00 -9.2380e-01 +6.4063e+00 -7.9269e+00 -4.1465e+00 +7.9263e-01 -4.5605e+00 -1.2409e+00 -4.8672e+00 -9.9559e-01 -1.7825e-01 -3.2213e-02 -2.7446e+00 +1.4285e+00 -6.9858e-01 -1.6487e+00 +5.0989e+00 +3.4193e-01 -2.0040e+00
601 +6.128781584e+04 +6.128781584e+04 +6.132371584e+04 +6.132371584e+04 +2.4525e+00 +1.5905e+00 +3.5295e-01 +6.4063e+00 -5.3430e+00 -4.1465e+00 +7.9263e-01 -4.5605e+00 -3.3567e-01 -5.1327e+00 -9.9559e-01 -1.3086e+00 -1.5119e-01 +4.8614e-01 +1.2955e+00 -3.1086e+00 -1.1230e+00 +7.7392e+00 -6.6277e-01 -3.0719e+00
1004 +1.810104629e+04 +1.810104629e+04 +1.813694629e+04 +1.813694629e+04 +6.0407e+00 +4.8277e+00 +4.4442e+00 +5.1428e+00 -6.8863e+00 -6.0964e+00 +4.0370e+00 -2.3522e+00 +2.2166e+00 -7.5696e+00 -3.7718e+00 -3.6875e+00 -4.7163e+00 -3.2496e-01 +8.9189e-03 -6.2855e+00 -1.6418e+00 +8.7725e+00 -8.6798e-01 -3.8016e+00
1455 +4.153080090e+02 +4.153080090e+02 +4.512080090e+02 +4.512080090e+02 +1.8039e+00 +4.5743e+00 +5.4411e+00 +4.5285e+00 -7.3264e+00 -4.6894e+00 +3.0889e+00 -3.0538e+00 +2.4820e-01 -6.1565e+00 -1.4427e+00 -4.6207e+00 -2.1455e+00 -4.6766e+00 +4.3892e+00 -3.4330e+00 -1.3351e+00 +1.3818e+01 -2.7463e+00 -2.0103e+00
2003 +3.750350036e+02 +3.750350036e+02 +4.109350036e+02 +4.109350036e+02 +4.0720e+00 +2.0711e+00 +5.5507e+00 +3.5174e+00 -6.7504e+00 -5.8579e+00 +2.2104e+00 -5.9926e+00 +2.2166e+00 -7.6921e+00 -5.2590e+00 -3.6875e+00 -2.4733e+00 -2.3435e+00 +1.4071e+00 -6.6820e+00 -1.3384e+00 +8.7725e+00 -9.1105e-01 -3.8016e+00
2204 +2.232543445e+02 +2.232543445e+02 +2.591543445e+02 +2.591543445e+02 +2.7902e-01 +4.5306e+00 +2.7113e+00 +3.7619e+00 -4.0476e+00 -6.7460e+00 -1.0575e-01 -6.8690e+00 +1.6366e-01 -3.9326e+00 -4.9545e+00 -2.3627e+00 -1.4696e+00 -5.1519e+00 +2.8916e+00 -5.3811e+00 -5.4667e-01 +7.8823e+00 -1.1400e-01 -2.9612e+00
3062 +1.196249242e+02 +1.196249242e+02 +1.555249242e+02 +1.555249242e+02 +1.5513e+00 +2.9784e+00 +2.7169e+00 +5.0233e+00 -2.8734e+00 -6.9135e+00 -1.1808e+00 -3.4771e+00 +9.3504e-01 -3.9699e+00 -2.1803e+00 -1.9527e+00 -1.3242e+00 -5.5557e-01 +1.4436e+00 -5.3303e+00 +5.7153e-01 +8.1239e+00 -2.8554e+00 -4.7509e+00
