% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.997639417e+05 +5.997639417e+05 +5.998877717e+05 +5.998877717e+05 +4.7250e+00 +2.9348e+00 -1.8119e-01 +2.4159e+00 -7.8902e-01 -4.6934e+00 -2.8784e+00 +6.5988e-01 -3.5990e+00 +2.5685e+00 +4.1114e+00 -2.9518e+00 +1.9317e+00 +2.2366e+00 +2.9882e+00 +1.8635e+00 +2.8608e+00 -4.6913e+00 +4.4466e+00 -6.1530e-01
4 +3.175402550e+05 +3.175402550e+05 +3.176640850e+05 +3.176640850e+05 +7.4953e-01 +1.6907e+00 -4.2337e+00 -4.4187e+00 +2.5283e-01 -2.4501e+00 -1.8079e+00 +1.8218e+00 -3.3191e+00 +1.6075e+00 -3.9815e+00 +7.4274e-01 +8.1972e-01 +3.9180e+00 +9.9002e-01 +1.8800e+00 -3.8702e+00 +2.4244e+00 -1.1060e+00 +4.1088e+00
10 +2.326979248e+05 +2.326979248e+05 +2.328217548e+05 +2.328217548e+05 +2.6532e+00 +1.5628e+00 +3.5549e+00 +4.6585e-01 -3.4599e+00 -2.6787e+00 +4.4791e+00 -1.9759e+00 +2.2841e+00 -4.4252e+00 -2.2606e+00 +8.1451e-01 +2.1520e+00 -2.2002e+00 -7.5398e-02 -4.1246e+00 -2.3688e+00 -1.7391e+00 +5.1938e-01 +2.4460e+00
21 +9.569609883e+04 +9.569609883e+04 +9.581992883e+04 +9.581992883e+04 -5.2463e-01 +1.8160e-02 -7.1873e-01 +2.2780e+00 +1.5757e+00 -1.3917e+00 -1.9411e+00 +1.8984e+00 +4.2993e+00 -1.0580e+00 -4.9400e-02 +6.6941e-01 -3.6946e-01 -4.1739e+00 -2.5685e-01 +4.0654e+00 +1.8984e+00 -2.7344e-01 +4.4350e+00 -1.7234e-01
408 +2.789711300e+04 +2.789711300e+04 +2.802094300e+04 +2.802094300e+04 +3.0191e+00 -2.0241e+00 -1.8409e+00 +1.0867e+00 -1.6469e+00 +2.0097e+00 -1.6730e-01 -9.1760e-01 -1.1151e+00 -2.5075e+00 +1.3173e+00 +1.3741e+00 +1.0834e+00 +1.6628e+00 +3.0600e+00 +2.3530e+00 -3.5704e-01 +2.1596e+00 +3.9019e-01 +1.7985e-01
1409 +1.890429360e+04 +1.890429360e+04 +1.902812360e+04 +1.902812360e+04 +1.4933e+00 +3.9876e+00 -4.3273e-01 +8.6277e-01 +2.0946e+00 +7.9623e-01 +7.3422e-01 -1.6475e+00 -2.3644e+00 -5.0824e-01 -2.5196e+00 -1.0899e+00 -1.7741e-01 -1.2982e+00 +1.9654e-01 -2.2234e+00 -1.3394e+00 -2.7158e+00 +1.9078e+00 +1.7802e+00
1502 +1.003631467e+04 +1.003631467e+04 +1.016014467e+04 +1.016014467e+04 +1.6187e+00 +4.2485e+00 +1.9094e+00 +5.0211e-01 -4.4772e-01 +3.8853e-01 +2.9852e+00 -3.4102e+00 -1.9882e+00 +6.2334e-01 -5.9573e-01 -9.1360e-01 -2.7438e-02 -1.2707e+00 +1.7096e+00 -2.8065e+00 -3.7298e+00 +2.0707e-01 -2.3377e-01 -3.2110e+00
2002 +5.039380260e+03 +5.039380260e+03 +5.163210260e+03 +5.163210260e+03 -1.7582e+00 +1.8629e+00 -7.6761e-01 +1.1307e+00 +6.0045e-01 +1.2887e+00 +1.9924e-01 -2.2077e-01 -3.5381e-01 +2.0545e+00 -2.0053e+00 -1.6326e+00 -3.6350e-01 +2.1603e+00 -3.3028e-01 -2.8447e+00 -1.1886e-01 +7.5935e-01 +1.1542e+00 -7.1738e-01
2355 +2.441122127e+03 +2.441122127e+03 +2.564952127e+03 +2.564952127e+03 -2.3936e-01 +3.1726e-01 -1.8504e-01 -1.3472e-01 -8.2459e-01 +6.3356e-01 +4.7058e-01 +1.7629e-01 +3.5227e-01 -7.5451e-01 +5.7548e-01 +3.1641e-01 -4.4407e-01 +9.1555e-01 +2.4104e+00 -1.2238e+00 +8.6339e-02 -1.0454e+00 +6.5631e-02 -7.7208e-01
3301 +1.181241951e+03 +1.181241951e+03 +1.305071951e+03 +1.305071951e+03 -2.4573e-01 +8.5376e-01 +4.3709e-01 +1.9347e-01 +3.5268e-01 +7.3393e-01 -4.7588e-01 -7.7001e-01 +6.2661e-01 -1.7496e+00 -2.8608e-01 -9.0973e-01 -6.5668e-01 +1.0742e-01 +4.8369e-01 +1.8550e-01 +1.3043e-01 -9.9227e-01 -4.3846e-01 -6.1641e-01
